recipe_name,ingredients,instructions
"Grilled Chicken Salad","2 chicken breasts, 1 head of lettuce, 1 yellow bell pepper, sliced, 1 red bell pepper, sliced, 1 green bell pepper, sliced, 1/2 cup cherry tomatoes, 2 tbsp olive oil, Salt and pepper to taste, Juice of 1 lemon","1. Grill chicken breasts until fully cooked, then slice. 2. In a large bowl, combine chopped lettuce, bell peppers, and cherry tomatoes. 3. Add grilled chicken slices on top. 4. Drizzle with lemon juice, olive oil, and season with salt and pepper. 5. Toss and serve."
"Salmon with Lemon Butter","2 salmon fillets, 1 lemon, sliced, 2 tbsp butter, Salt and pepper to taste","1. Preheat oven to 375°F (190°C). 2. Place salmon fillets on a baking sheet and top with lemon slices and butter. 3. Season with salt and pepper. 4. Bake for 15-20 minutes or until salmon is cooked through. 5. Serve hot."
"Fruit Salad","1 cup strawberries, halved, 1/2 cup pomegranate seeds, 1 red apple, chopped, 1 banana, sliced, Juice of 1 orange","1. In a large bowl, combine strawberries, pomegranate seeds, chopped apple, and banana. 2. Drizzle with orange juice and toss gently to combine. 3. Serve immediately."
"Roasted Vegetables","1 yellow bell pepper, sliced, 1 red bell pepper, sliced, 1 green bell pepper, sliced, 2 cups broccoli florets, 1 onion, chopped, 2 tbsp olive oil, Salt and pepper to taste","1. Preheat oven to 400°F (200°C). 2. In a large baking dish, combine bell peppers, broccoli, and onion. 3. Drizzle with olive oil and season with salt and pepper. 4. Roast for 20-25 minutes or until vegetables are tender. 5. Serve hot."
"Chicken Stir-Fry","2 chicken breasts, sliced, 1 yellow bell pepper, sliced, 1 red bell pepper, sliced, 1 green bell pepper, sliced, 2 cups broccoli florets, 1 onion, sliced, 2 tbsp soy sauce, 2 tbsp olive oil, 1 tbsp lemon juice, Salt and pepper to taste","1. Heat olive oil in a large pan over medium-high heat. 2. Add chicken slices and cook until browned. 3. Add onions and cook until translucent. 4. Add bell peppers and broccoli, stir-fry for 5-7 minutes. 5. Stir in soy sauce and lemon juice, season with salt and pepper. 6. Serve hot."
"Strawberry Banana Smoothie","1 cup strawberries, 1 banana, sliced, 1 cup spinach, 1 cup orange juice, 1/2 cup yogurt, 1 tbsp honey","1. Combine strawberries, banana, spinach, orange juice, yogurt, and honey in a blender. 2. Blend until smooth. 3. Serve immediately."
"Chicken and Broccoli Alfredo","2 chicken breasts, diced, 2 cups broccoli florets, 1 onion, chopped, 1 cup heavy cream, 1/2 cup grated Parmesan cheese, 2 tbsp olive oil, Salt and pepper to taste, 1 pound pasta","1. Cook pasta according to package instructions. 2. In a large pan, heat olive oil and cook chicken until browned. 3. Add onions and cook until translucent. 4. Add broccoli and cook until tender. 5. Stir in heavy cream and grated Parmesan cheese. 6. Season with salt and pepper. 7. Combine with cooked pasta and serve hot."
"Grilled Salmon Salad","2 salmon fillets, 1 head of lettuce, 1 yellow bell pepper, sliced, 1 red bell pepper, sliced, 1 green bell pepper, sliced, 1/2 cup cherry tomatoes, 2 tbsp olive oil, Salt and pepper to taste, Juice of 1 lemon","1. Preheat grill to medium-high heat. 2. Season salmon fillets with salt and pepper. 3. Grill salmon fillets for 5-7 minutes on each side or until cooked through. 4. In a large bowl, combine chopped lettuce, bell peppers, and cherry tomatoes. 5. Add grilled salmon on top. 6. Drizzle with lemon juice, olive oil, and season with salt and pepper. 7. Toss and serve."
"Orange and Pomegranate Smoothie","1 cup pomegranate seeds, 1 cup orange juice, 1 banana, sliced, 1/2 cup yogurt, 1 tbsp honey","1. Combine pomegranate seeds, orange juice, banana, yogurt, and honey in a blender. 2. Blend until smooth. 3. Serve immediately."
"Lemon Garlic Chicken","2 chicken breasts, 2 cloves garlic, minced, Juice of 1 lemon, 2 tbsp olive oil, Salt and pepper to taste","1. Preheat oven to 375°F (190°C). 2. In a small bowl, combine minced garlic, lemon juice, olive oil, salt, and pepper. 3. Place chicken breasts on a baking sheet and brush with the garlic lemon mixture. 4. Bake for 25-30 minutes or until chicken is cooked through. 5. Serve hot."
